step,epoch,loss_treino,lr,grad_norm,tokens_por_seg,gpu_mem_gb,elapsed_s
1760,26,1.108989,1.795928e-05,0.5000,807733.6,6.667,422.1
1780,26,1.230625,1.575688e-05,0.6133,704698.9,6.667,426.6
1800,27,1.039273,1.369103e-05,0.5820,533769.7,6.667,432.2
1820,27,1.086438,1.176382e-05,0.5625,678033.8,6.667,437.2
1840,27,1.108507,9.977228e-06,0.6172,499905.4,6.667,441.9
1860,27,1.125296,8.333059e-06,0.5703,580539.1,6.667,446.4
1880,28,1.098051,6.832987e-06,0.5977,313260.6,6.667,451.4
1900,28,1.162216,5.478540e-06,0.4258,657640.4,6.667,455.3
1920,28,1.109897,4.271095e-06,0.5273,595197.7,6.667,460.2
1940,29,1.124384,3.211880e-06,0.6562,482984.6,6.667,467.1
1960,29,1.175721,2.301972e-06,0.5703,580948.9,6.667,471.7
1980,29,1.090803,1.542297e-06,0.5000,489025.6,6.667,476.1
2000,29,1.192023,9.336274e-07,0.4824,444862.9,6.667,479.9
2020,30,1.026583,4.765829e-07,0.5898,549952.9,6.667,485.1
2040,30,1.098330,1.716280e-07,0.5000,605393.7,6.667,489.8
2060,30,1.252661,1.907302e-08,0.5781,541929.8,6.667,493.7
