step,epoch,loss_treino,lr,grad_norm,tokens_por_seg,gpu_mem_gb,elapsed_s
1760,5,1.680194,2.874914e-04,0.5430,119023.8,0.615,38.3
1780,5,1.660097,2.871926e-04,0.5625,105665.5,0.615,38.6
1800,5,1.678919,2.868904e-04,0.6055,114445.5,0.615,39.0
1820,5,1.666982,2.865848e-04,0.4590,96285.6,0.615,39.4
1840,5,1.643281,2.862759e-04,0.5312,80872.7,0.615,39.8
1860,5,1.641271,2.859636e-04,0.5117,110433.1,0.615,40.1
1880,5,1.657170,2.856480e-04,0.5820,118322.3,0.615,40.5
1900,5,1.693377,2.853291e-04,0.8047,104141.0,0.615,40.9
1920,5,1.659774,2.850068e-04,0.5859,157172.6,0.615,41.2
1940,5,1.637488,2.846812e-04,0.5586,90837.9,0.615,41.6
1960,5,1.656766,2.843524e-04,0.5664,123423.8,0.615,42.0
1980,5,1.643218,2.840202e-04,0.6875,119507.3,0.615,42.4
2000,5,1.658182,2.836847e-04,0.6016,80052.5,0.615,42.7
2020,5,1.644566,2.833460e-04,0.4961,145994.8,0.615,43.1
2040,5,1.669000,2.830039e-04,0.5977,85840.4,0.615,43.5
2060,5,1.628767,2.826586e-04,0.4844,152511.2,0.615,43.8
2080,5,1.639908,2.823101e-04,0.5586,91481.3,0.615,44.2
2100,5,1.645770,2.819583e-04,0.7109,102317.6,0.615,44.6
2120,5,1.642969,2.816032e-04,0.4453,97900.7,0.615,45.0
2140,6,1.625333,2.812450e-04,0.5898,152990.4,0.615,46.6
2160,6,1.641218,2.808835e-04,0.4980,103255.8,0.615,46.9
2180,6,1.652697,2.805188e-04,0.6094,106229.3,0.615,47.3
2200,6,1.643649,2.801509e-04,0.5000,114204.6,0.615,47.7
2220,6,1.630877,2.797798e-04,0.7148,93543.3,0.615,48.0
2240,6,1.631412,2.794055e-04,0.5703,140209.6,0.615,48.4
2260,6,1.650751,2.790280e-04,0.6016,97613.4,0.615,48.8
2280,6,1.635509,2.786473e-04,0.4609,101567.2,0.615,49.2
2300,6,1.635760,2.782636e-04,0.5859,136251.1,0.615,49.5
2320,6,1.658602,2.778766e-04,0.8125,121194.6,0.615,49.9
2340,6,1.643412,2.774865e-04,0.5430,162777.9,0.615,50.3
2360,6,1.653894,2.770933e-04,0.5234,154156.5,0.615,50.6
2380,6,1.622004,2.766970e-04,0.4531,122290.6,0.615,51.0
2400,6,1.617807,2.762975e-04,0.4746,129027.9,0.615,51.4
2420,6,1.621502,2.758950e-04,0.5547,85456.9,0.615,51.7
2440,6,1.650966,2.754893e-04,0.5469,98126.7,0.615,52.1
2460,6,1.659180,2.750806e-04,0.5586,79068.7,0.615,52.5
2480,6,1.643117,2.746688e-04,0.5508,110991.9,0.615,52.9
2500,6,1.644823,2.742539e-04,0.6367,102502.2,0.615,53.2
2520,6,1.641310,2.738360e-04,0.4961,108811.0,0.615,53.6
2540,6,1.638217,2.734151e-04,0.5703,118220.5,0.615,54.0
2560,7,1.597576,2.729911e-04,0.5859,138160.4,0.615,55.6
2580,7,1.631160,2.725641e-04,0.5938,105954.1,0.615,56.0
2600,7,1.617199,2.721341e-04,0.4961,119409.2,0.615,56.4
2620,7,1.630461,2.717011e-04,0.5273,89034.3,0.615,56.7
2640,7,1.645319,2.712651e-04,0.6211,98830.8,0.615,57.1
2660,7,1.660357,2.708261e-04,0.5859,104131.5,0.615,57.5
2680,7,1.613170,2.703842e-04,0.6133,144125.5,0.615,57.8
2700,7,1.647711,2.699393e-04,0.5977,83481.1,0.615,58.2
2720,7,1.631965,2.694915e-04,0.5273,122526.4,0.615,58.6
2740,7,1.634820,2.690407e-04,0.5898,126760.6,0.615,58.9
2760,7,1.649824,2.685870e-04,0.6250,123919.0,0.615,59.3
2780,7,1.629489,2.681304e-04,0.4883,97632.8,0.615,59.7
2800,7,1.633525,2.676709e-04,0.4941,105121.9,0.615,60.1
2820,7,1.647416,2.672085e-04,0.6758,77346.7,0.615,60.4
2840,7,1.615274,2.667432e-04,0.5234,170227.5,0.615,60.8
2860,7,1.644023,2.662751e-04,0.5977,90421.2,0.615,61.2
2880,7,1.624935,2.658041e-04,0.4805,133304.3,0.615,61.5
2900,7,1.620756,2.653302e-04,0.4707,102163.2,0.615,61.9
2920,7,1.623847,2.648536e-04,0.4453,145856.3,0.615,62.3
2940,7,1.638511,2.643741e-04,0.4980,104681.9,0.615,62.6
2960,7,1.624113,2.638918e-04,0.5508,128249.4,0.615,63.0
2980,7,1.626836,2.634067e-04,0.5469,125888.8,0.615,63.4
3000,8,1.636250,2.629188e-04,0.6445,121744.2,0.615,65.0
3020,8,1.637888,2.624281e-04,0.4180,114482.6,0.615,65.4
3040,8,1.631409,2.619347e-04,0.6680,92954.1,0.615,65.7
3060,8,1.640120,2.614386e-04,0.5703,94824.1,0.615,66.1
3080,8,1.650148,2.609397e-04,0.4531,115564.1,0.615,66.5
3100,8,1.619875,2.604380e-04,0.6328,123210.6,0.615,66.9
3120,8,1.620605,2.599337e-04,0.5312,124609.3,0.615,67.2
3140,8,1.620450,2.594267e-04,0.6094,109706.5,0.615,67.6
3160,8,1.612232,2.589169e-04,0.5352,175124.7,0.615,68.0
3180,8,1.634413,2.584046e-04,0.4688,100163.8,0.615,68.3
3200,8,1.623368,2.578895e-04,0.5703,91809.2,0.615,68.7
3220,8,1.641919,2.573718e-04,0.7383,88869.9,0.615,69.1
3240,8,1.619046,2.568514e-04,0.7305,126306.1,0.615,69.4
3260,8,1.630368,2.563285e-04,0.5312,87694.8,0.615,69.8
3280,8,1.648851,2.558029e-04,0.7031,81498.4,0.615,70.1
3300,8,1.619124,2.552747e-04,0.4316,139255.3,0.615,70.5
3320,8,1.609748,2.547440e-04,0.6133,97687.2,0.615,70.9
3340,8,1.611555,2.542106e-04,0.6914,155537.3,0.615,71.2
3360,8,1.613397,2.536747e-04,0.5508,109903.5,0.615,71.6
3380,8,1.623940,2.531363e-04,0.4785,88345.2,0.615,72.0
3400,8,1.650326,2.525953e-04,0.5664,89363.5,0.615,72.3
3420,9,1.608356,2.520519e-04,0.6367,190139.3,0.615,73.9
3440,9,1.619868,2.515059e-04,0.5039,138643.9,0.615,74.3
3460,9,1.630151,2.509574e-04,0.7109,98711.2,0.615,74.7
3480,9,1.630340,2.504064e-04,0.5156,87011.0,0.615,75.0
3500,9,1.612821,2.498530e-04,0.5664,107898.0,0.615,75.4
3520,9,1.626114,2.492971e-04,0.5078,93955.1,0.615,75.8
3540,9,1.628810,2.487388e-04,0.5078,86119.0,0.615,76.1
3560,9,1.632931,2.481780e-04,0.5195,103544.9,0.615,76.5
3580,9,1.603981,2.476149e-04,0.4453,145096.4,0.615,76.9
3600,9,1.635906,2.470493e-04,0.4570,82656.3,0.615,77.3
3620,9,1.622519,2.464814e-04,0.5508,113765.8,0.615,77.6
3640,9,1.606890,2.459111e-04,0.4766,140342.7,0.615,78.0
3660,9,1.616487,2.453384e-04,0.5742,103508.7,0.615,78.4
3680,9,1.626848,2.447634e-04,0.6406,96132.4,0.615,78.7
3700,9,1.595877,2.441861e-04,0.5156,150284.0,0.615,79.1
3720,9,1.610834,2.436065e-04,0.5117,118867.1,0.615,79.5
3740,9,1.606677,2.430245e-04,0.6250,123637.3,0.615,79.9
3760,9,1.624673,2.424403e-04,0.4512,109814.3,0.615,80.2
3780,9,1.623330,2.418538e-04,0.6211,110557.5,0.615,80.6
3800,9,1.614717,2.412651e-04,0.6719,131096.3,0.615,81.0
3820,9,1.621120,2.406741e-04,0.5352,98639.3,0.615,81.3
3840,10,1.609384,2.400809e-04,0.4121,165478.5,0.615,82.9
3860,10,1.622560,2.394854e-04,0.4922,107241.5,0.615,83.3
3880,10,1.595690,2.388878e-04,0.5352,109064.9,0.615,83.7
3900,10,1.607335,2.382880e-04,0.5078,157661.4,0.615,84.0
3920,10,1.618452,2.376860e-04,0.5625,137852.1,0.615,84.4
3940,10,1.635073,2.370819e-04,0.4668,100449.9,0.615,84.8
3960,10,1.624020,2.364756e-04,0.5000,112666.0,0.615,85.1
